nid,ngram,dm_to_dm, d_to_dm, dm_to_d, d_to_d, ngram_occur_num,total_paper_num, meme_score
2728,effect electric,0,3,2,28322,3,28325,0.0
2729,oxidation zn,0,3,2,28322,3,28325,0.0
2730,films using electrochemical,0,0,1,28325,1,28325,0.0
2732,current,1152,6162,1457,22163,2989,28325,0.2993710963237304
2734,growth high-quality,7,213,26,28112,44,28325,0.04880531686691713
2735,preferred growth 101,0,0,1,28325,1,28325,0.0
2736,values near ph,0,0,1,28325,1,28325,0.0
2737,short hexagonal pillars,0,0,1,28325,1,28325,0.0
2738,dark current,57,618,154,27707,244,28325,0.1395532762268169
2739,quality showed large,0,0,1,28325,1,28325,0.0
2740,films showed,12,236,88,28089,116,28325,0.06347645773408457
2741,film form short,0,0,1,28325,1,28325,0.0
2742,101,5,90,51,28235,62,28325,0.061538796813877736
2743,measurement,261,1704,645,26621,1094,28325,0.24263457571833705
2744,measured dark,0,5,6,28320,7,28325,0.0
2745,electrochemical different,0,0,1,28325,1,28325,0.0
2746,emission ratio indicated,0,0,1,28325,1,28325,0.0
2747,showed polycrystalline film,0,0,1,28325,1,28325,0.0
2748,growth 101,0,10,1,28315,3,28325,0.0
2749,near,138,2319,607,26006,874,28325,0.07819017853060249
2750,highest,215,2413,599,25912,909,28325,0.1229391529675237
2751,zno films application,0,2,2,28323,2,28325,0.0
2752,near ph value,0,0,1,28325,1,28325,0.0
2753,0.2,13,762,172,27563,221,28325,0.02088526429341963
2754,hexagonal pillars,0,0,1,28325,1,28325,0.0
2755,potential values near,0,0,1,28325,1,28325,0.0
2756,photocurrent using,0,0,1,28325,1,28325,0.0
2757,films application optoelectronic,0,0,2,28325,2,28325,0.0
2758,current-voltage,71,828,277,27497,392,28325,0.11613099202037548
2759,value showed tendency,0,0,1,28325,1,28325,0.0
2760,ratio,496,3420,1170,24905,1885,28325,0.20476562829750788
2761,band-edge deep-level emission,0,0,1,28325,1,28325,0.0
2762,generations,3,163,33,28162,40,28325,0.019966893168437208
2763,study fabricated,0,9,12,28316,12,28325,0.0
2764,ph value,3,27,18,28298,24,28325,0.11418887908208299
2765,samples,269,2059,786,26266,1255,28325,0.19244381760859136
2766,short hexagonal,0,0,1,28325,1,28325,0.0
2767,current photocurrent using,0,0,1,28325,1,28325,0.0
2768,application optoelectronic devices,9,330,118,27995,146,28325,0.03223464205892193
2769,high responsivity value,0,2,3,28323,3,28325,0.0
2770,high-quality zno films,0,26,2,28299,5,28325,0.0
2771,photoluminescence,1528,5512,1167,22813,3088,28325,0.5890319564964919
2772,samples showed,0,43,25,28282,28,28325,0.0
2773,form short,0,0,1,28325,1,28325,0.0
2774,properties measured,0,90,26,28235,33,28325,0.0
2775,photocurrent generations high,0,0,1,28325,1,28325,0.0
2776,tendency,5,175,72,28150,87,28325,0.03238640578359134
2777,near band-edge,0,57,7,28268,10,28325,0.0
2778,near ph,0,2,2,28323,2,28325,0.0
2779,deep-level emission ratio,0,0,1,28325,1,28325,0.0
2780,large number,4,357,85,27968,103,28325,0.012842516069788798
2781,underside upside,0,0,1,28325,1,28325,0.0
2782,high responsivity,40,392,87,27933,132,28325,0.14648347056654787
2783,upside respectively,0,0,1,28325,1,28325,0.0
2784,film,1597,6087,1476,22238,3588,28325,0.4995239038241284
2785,current photocurrent,0,22,11,28303,12,28325,0.0
2786,using current-voltage,1,12,11,28313,12,28325,0.05712470054217627
2787,value near band-edge,0,0,1,28325,1,28325,0.0
2788,band-edge deep-level,0,0,2,28325,2,28325,0.0
2789,near band-edge deep-level,0,0,1,28325,1,28325,0.0
2790,pillars underside,0,0,1,28325,1,28325,0.0
2791,potential values,0,6,7,28319,8,28325,0.0
2792,form,284,3573,962,24752,1431,28325,0.10292625294563532
2793,fabricated,1100,5794,1449,22531,2909,28325,0.30243695797613956
2794,orientation,202,1688,499,26637,817,28325,0.182848079502848
2795,fabricated zno,0,16,14,28309,14,28325,0.0
2796,method studying,0,5,3,28320,3,28325,0.0
2797,underside,0,0,1,28325,1,28325,0.0
2798,investigate photoresponse properties,0,15,3,28310,3,28325,0.0
2799,ma,100,959,232,27366,381,28325,0.16284373408934452
2800,showed fluctuating,0,0,1,28325,1,28325,0.0
2801,generations high,0,0,1,28325,1,28325,0.0
2802,deep-level,2,81,30,28244,36,28325,0.025902499971343747
2803,photocurrent,436,2523,493,25802,1015,28325,0.3217891923032436
2804,responsivity value,0,19,7,28306,7,28325,0.0
2805,films showed polycrystalline,0,0,3,28325,3,28325,0.0
2806,fabricated zno films,0,2,2,28323,2,28325,0.0
2807,different oxidation,0,40,6,28285,10,28325,0.0
2808,measured,470,3495,1127,24830,1917,28325,0.19983934252031532
2809,ph,32,316,147,28009,214,28325,0.14153244481827126
2810,expect method,0,1,3,28324,3,28325,0.0
2811,currents,21,380,145,27945,189,28325,0.06908780988833715
2812,morphology,555,3078,1043,25247,1837,28325,0.282013709083974
2813,expect,3,271,48,28054,57,28325,0.012121229806306531
2814,films highest,0,6,4,28319,6,28325,0.0
2815,band-edge,9,297,64,28028,88,28325,0.03899400086943921
2816,fluctuating potential,0,0,1,28325,1,28325,0.0
2817,film obtained,1,36,25,28289,32,28325,0.029269888687364413
2818,study fabricated zno,0,0,1,28325,1,28325,0.0
2819,using electrochemical different,0,0,1,28325,1,28325,0.0
2820,ratio indicated,0,0,1,28325,1,28325,0.0
2821,respectively preferred growth,0,0,1,28325,1,28325,0.0
2822,number photocurrent,0,0,2,28325,2,28325,0.0
2823,pillars,1,64,15,28261,18,28325,0.014893230230137926
2824,showed large,0,221,18,28104,19,28325,0.0
2825,expect method offer,0,0,1,28325,1,28325,0.0
2826,highest value near,0,0,1,28325,1,28325,0.0
2827,offer,111,2204,363,26121,536,28325,0.06793195394150742
2828,responsivity,334,1537,278,26788,660,28325,0.4818172754240197
2829,studying,14,452,169,27873,204,28325,0.035915250249863036
2830,preferred,33,381,203,27944,268,28325,0.11031017296634932
2831,novel method,3,160,61,28165,70,28325,0.020018789358833437
2832,films application,0,9,7,28316,9,28325,0.0
2833,ph value showed,0,0,1,28325,1,28325,0.0
2834,highest value,2,136,23,28189,30,28325,0.01652414778069594
2835,0.5,22,848,302,27477,392,28325,0.03223488745580796
2836,showed polycrystalline,0,4,10,28321,11,28325,0.0
2837,form short hexagonal,0,0,1,28325,1,28325,0.0
2838,large,935,6744,1421,21581,2687,28325,0.19926021365098834
2839,method offer novel,0,0,1,28325,1,28325,0.0
2840,currents 0.2,0,0,1,28325,1,28325,0.0
2841,respectively preferred,0,0,1,28325,1,28325,0.0
2842,ratio indicated high-quality,0,0,1,28325,1,28325,0.0
2843,zno films zn,0,0,1,28325,1,28325,0.0
2844,underside upside respectively,0,0,1,28325,1,28325,0.0
2845,values near,0,11,5,28314,6,28325,0.0
2846,indicated high-quality zno,0,0,1,28325,1,28325,0.0
2847,films highest quality,0,0,1,28325,1,28325,0.0
2848,fluctuating,0,5,6,28320,7,28325,0.0
2849,preferred growth,0,21,17,28304,18,28325,0.0
2850,photocurrent using current-voltage,0,0,1,28325,1,28325,0.0
2851,number,239,3181,824,25144,1215,28325,0.09790657845353776
2852,zno films highest,0,0,1,28325,1,28325,0.0
2853,quality showed,0,0,1,28325,1,28325,0.0
2854,showed large number,0,1,2,28324,2,28325,0.0
2855,deep-level emission,1,14,9,28311,11,28325,0.05390062821245003
2856,pillars underside upside,0,0,1,28325,1,28325,0.0
2857,currents 0.2 0.5,0,0,1,28325,1,28325,0.0
2858,application optoelectronic,12,464,161,27861,200,28325,0.03082648848037834
2859,polycrystalline film form,0,0,1,28325,1,28325,0.0
2860,oxidation currents 0.2,0,0,1,28325,1,28325,0.0
2861,measured dark current,0,1,2,28324,2,28325,0.0
2862,emission ratio,0,4,6,28321,6,28325,0.0
2863,spectra highest,0,1,2,28324,2,28325,0.0
2864,current-voltage measurement,0,5,4,28320,6,28325,0.0
2865,growth high-quality zno,0,22,3,28303,3,28325,0.0
2866,offer novel method,0,0,1,28325,1,28325,0.0
2867,number photocurrent generations,0,0,1,28325,1,28325,0.0
2868,photoresponse,238,1530,236,26795,518,28325,0.3183458005452161
2869,high-quality zno film,0,0,1,28325,1,28325,0.0
2870,showed fluctuating potential,0,0,1,28325,1,28325,0.0
2871,different oxidation currents,0,0,1,28325,1,28325,0.0
2872,101 orientation,0,0,2,28325,2,28325,0.0
2873,novel method studying,0,0,1,28325,1,28325,0.0
2874,0.5 ma,0,0,2,28325,2,28325,0.0
2875,film form,0,72,15,28253,19,28325,0.0
2876,films zn,0,4,4,28321,4,28325,0.0
2877,zno film,28,230,107,28095,152,28325,0.16472461559176538
2878,zno film obtained,0,0,1,28325,1,28325,0.0
2879,oxidation currents,0,0,1,28325,1,28325,0.0
2880,photocurrent generations,0,0,1,28325,1,28325,0.0
2881,spectra highest value,0,0,1,28325,1,28325,0.0
2882,offer novel,0,24,11,28301,11,28325,0.0
2883,upside respectively preferred,0,0,1,28325,1,28325,0.0
2884,photoluminescence spectra,25,483,193,27842,252,28325,0.06501678831775919
2885,0.2 0.5,0,1,2,28324,2,28325,0.0
2886,value showed,0,0,2,28325,2,28325,0.0
2887,properties measured dark,0,0,1,28325,1,28325,0.0
2888,morphology zno,0,27,29,28298,33,28325,0.0
2889,photoresponse properties measured,0,0,1,28325,1,28325,0.0
2890,studying growth high-quality,0,0,1,28325,1,28325,0.0
2891,films zn films,0,0,1,28325,1,28325,0.0
2892,dark,180,1505,386,26820,663,28325,0.19265155629211353
2893,electrochemical different oxidation,0,0,1,28325,1,28325,0.0
2894,photoluminescence spectra highest,0,0,1,28325,1,28325,0.0
2895,highest quality,0,28,5,28297,7,28325,0.0
2896,samples showed fluctuating,0,0,1,28325,1,28325,0.0
2897,using current-voltage measurement,0,0,1,28325,1,28325,0.0
2898,values,350,3249,958,25076,1517,28325,0.15042499213535257
2899,zn films using,0,0,1,28325,1,28325,0.0
2900,polycrystalline film,4,138,7,28187,14,28325,0.03952701983687317
2901,hexagonal pillars underside,0,0,1,28325,1,28325,0.0
2902,highest quality showed,0,0,1,28325,1,28325,0.0
2903,large number photocurrent,0,0,1,28325,1,28325,0.0
2904,fluctuating potential values,0,0,1,28325,1,28325,0.0
2905,0.2 0.5 ma,0,0,1,28325,1,28325,0.0
2906,high-quality zno,1,40,8,28285,13,28325,0.02744824214558815
2907,upside,0,0,1,28325,1,28325,0.0
2908,value near,0,0,1,28325,1,28325,0.0
2909,generations high responsivity,0,0,1,28325,1,28325,0.0
2910,zno films showed,0,12,3,28313,5,28325,0.0
2911,indicated high-quality,0,0,1,28325,1,28325,0.0
2912,photoresponse properties,10,118,35,28207,48,28325,0.10396937614765545
2913,growth 101 orientation,0,0,1,28325,1,28325,0.0
2914,morphology zno films,0,0,6,28325,6,28325,0.0
2915,dark current photocurrent,0,13,9,28312,10,28325,0.0
2916,showed tendency,0,8,2,28317,3,28325,0.0
2917,method studying growth,0,0,1,28325,1,28325,0.0
2918,investigate photoresponse,0,17,4,28308,4,28325,0.0
2919,method offer,0,82,3,28243,4,28325,0.0
2920,polycrystalline,159,1319,287,27006,540,28325,0.21355021717222616
2921,studying growth,0,1,2,28324,2,28325,0.0
2924,graphene/si quantum,0,1,1,28324,1,28325,0.0
2927,heterojunction photodetectors,7,76,7,28249,15,28325,0.13256884936373692
2929,quantum,2063,6785,1166,21540,3712,28325,0.7339848800500665
2932,self-powered,38,225,31,28100,70,28325,0.34044788259522696
2934,photodetectors,703,3260,479,25065,1298,28325,0.5134707074540088
2938,graphene/si,1,23,9,28302,10,28325,0.0320286509606898
2939,532 nm similar,0,0,1,28325,1,28325,0.0
2940,12 cm hz,1,8,2,28317,3,28325,0.05453582604509347
2941,results suggest,49,1179,297,27146,389,28325,0.05152178121464013
2942,exhibit 0.32-0.65 aw,0,0,1,28325,1,28325,0.0
2943,photocurrent/dark current on/off,0,0,1,28325,1,28325,0.0
2944,sio2-embedded si,0,0,1,28325,1,28325,0.0
2945,applications self-powered optoelectronic,0,0,1,28325,1,28325,0.0
2946,nws,150,1030,191,27295,355,28325,0.25608165715772724
2947,doped graphene/p-sqds sio2/n-si,0,0,1,28325,1,28325,0.0
2948,si quantum,2,39,20,28286,23,28325,0.04755852561677804
2949,suggest doped graphene/p-sqds,0,0,1,28325,1,28325,0.0
2950,500-900 nm,0,4,2,28321,3,28325,0.0
2951,excellent pd characteristics,0,0,1,28325,1,28325,0.0
2952,``,110,1932,558,26393,783,28325,0.07393989299983217
2953,pd characteristics including,0,0,1,28325,1,28325,0.0
2954,700,13,337,126,27988,165,28325,0.04832892832002976
2955,0.1wt exhibit,0,0,1,28325,1,28325,0.0
2956,report ag-nanowires,0,0,1,28325,1,28325,0.0
2957,12,82,1691,349,26634,486,28325,0.06285060236387072
2958,eqe similar,0,13,4,28312,4,28325,0.0
2959,pds kept 700,1,1,1,28324,2,28325,0.12500882612533099
2960,on/off ratio,39,589,113,27736,161,28325,0.08954300587147086
2961,efficiency eqe,15,344,69,27981,88,28325,0.05219775607845332
2962,detectivity visible range,0,0,1,28325,1,28325,0.0
2963,dynamic,131,1330,463,26995,679,28325,0.13648555129588832
2964,pd comparable,0,0,1,28325,1,28325,0.0
2965,time pds,0,0,1,28325,1,28325,0.0
2966,comparable,115,2151,419,26174,617,28325,0.07213977923271789
2967,pd better,0,0,1,28325,1,28325,0.0
2968,hz 1/2 /w,0,99,6,28226,6,28325,0.0
2969,dots p-sqds,0,0,1,28325,1,28325,0.0
2970,kept,5,166,73,28159,93,28325,0.035995335979613324
2971,suggest doped,0,11,2,28314,2,28325,0.0
2972,on/off ratio 10,4,162,32,28163,38,28325,0.026172599274805804
2973,responsivity similar 85,0,0,1,28325,1,28325,0.0
2974,self-powered pd comparable,0,0,1,28325,1,28325,0.0
2975,particular eqe,0,0,1,28325,1,28325,0.0
2976,pd comparable commercially-available,0,0,1,28325,1,28325,0.0
2977,-1,573,3748,822,24577,1545,28325,0.24825274141771558
2978,12 cm,1,33,16,28292,19,28325,0.02774835736000784
2979,eqe similar 4.5,0,0,1,28325,1,28325,0.0
2980,sio2-embedded,0,0,2,28325,2,28325,0.0
2981,visible,682,4331,1048,23994,1990,28325,0.25242528834555056
2982,db similar,0,9,4,28316,4,28325,0.0
2983,similar 83,0,3,1,28322,2,28325,0.0
2984,kept 700,1,1,1,28324,2,28325,0.12500882612533099
2985,db,199,1192,274,27133,538,28325,0.3098586252914173
2986,pds optimized ag,0,0,1,28325,1,28325,0.0
2987,initial,39,847,337,27478,444,28325,0.05813160956153397
2988,ag-nanowires,0,0,1,28325,1,28325,0.0
2989,junctions excellent,0,0,2,28325,2,28325,0.0
2990,particular eqe self-powered,0,0,1,28325,1,28325,0.0
2991,linear,204,2285,586,26040,920,28325,0.12804651775786302
2992,previously-reported graphene/si pds,1,1,1,28324,2,28325,0.12500882612533099
2993,heterojunctions promising,0,6,3,28319,4,28325,0.0
2994,p-n,135,1441,161,26884,327,28325,0.17694687964775163
2995,particular,260,3438,798,24887,1215,28325,0.10071343655694254
2996,`` self-powered,0,0,1,28325,1,28325,0.0
2997,hz,70,834,113,27491,215,28325,0.1504600017402808
2998,'',134,2201,622,26124,892,28325,0.08003826613250722
2999,sio2/n-si,0,2,2,28323,2,28325,0.0
3000,83 db similar,0,0,1,28325,1,28325,0.0
3001,1/2 /w detectivity,0,0,1,28325,1,28325,0.0
3002,current on/off,7,175,20,28150,28,28325,0.047584224389684425
3003,532 nm,20,387,77,27938,111,28325,0.07018921854844185
3004,excellent,722,4654,1005,23671,1919,28325,0.24668749049353672
3005,si quantum dots,1,20,13,28305,15,28325,0.0407364058482674
3006,response time,63,819,142,27506,231,28325,0.1185816787588064
3007,exhibit,684,5384,1199,22941,2130,28325,0.18225668945352688
3008,sio2-embedded si quantum,0,0,1,28325,1,28325,0.0
3009,on/off,82,986,178,27339,276,28325,0.12204175053262374
3010,dynamic range response,2,16,1,28309,3,28325,0.0789111348539044
3011,0.32-0.65 aw,0,0,1,28325,1,28325,0.0
3012,0.1wt,0,0,1,28325,1,28325,0.0
3013,si pd better,0,0,1,28325,1,28325,0.0
3014,similar 10 12,1,17,13,28308,14,28325,0.043728375992939106
3015,similar 83 db,0,0,1,28325,1,28325,0.0
3016,83,1,165,41,28160,49,28325,0.00659087565861617
3017,detectivity,163,807,80,27518,248,28325,0.5842119897982962
3018,cm,827,4536,920,23789,2021,28325,0.3350973334559103
3019,532,24,415,86,27910,125,28325,0.0794678682964259
3020,db similar mu,0,9,2,28316,2,28325,0.0
3021,applications self-powered,0,7,3,28318,3,28325,0.0
3022,/n-si heterojunction photodetectors,0,0,1,28325,1,28325,0.0
3023,ag-nanowires ag,0,0,1,28325,1,28325,0.0
3024,heterojunctions,85,954,174,27371,298,28325,0.14451679784031635
3025,nm similar 83,0,0,1,28325,1,28325,0.0
3026,self-powered optoelectronic devices,0,2,3,28323,3,28325,0.0
3027,pds 532 nm,0,0,1,28325,1,28325,0.0
3028,pds kept,1,1,1,28324,2,28325,0.12500882612533099
3029,hz 1/2,16,412,21,27913,38,28325,0.060162726811925554
3030,visible range,31,573,179,27752,242,28325,0.07012203344120821
3031,pd better previously-reported,0,0,1,28325,1,28325,0.0
3032,-1 responsivity,0,38,2,28287,2,28325,0.0
3033,better previously-reported graphene/si,1,1,1,28324,2,28325,0.12500882612533099
3034,comparable commercially-available,1,1,1,28324,2,28325,0.12500882612533099
3035,quantum efficiency,252,2240,390,26085,729,28325,0.19194513647837064
3036,4.5 similar,0,0,2,28325,2,28325,0.0
3037,4.5,3,250,74,28075,94,28325,0.014349412261423118
3038,air,136,1653,385,26672,599,28325,0.11940105998780545
3039,p-sqds,0,0,1,28325,1,28325,0.0
3040,previously-reported,1,1,3,28324,4,28325,0.16667843483377465
3041,-doped graphene/p-type sio2-embedded,0,0,1,28325,1,28325,0.0
3042,sio2 /n-si heterojunction,0,0,1,28325,1,28325,0.0
3043,eqe self-powered pd,0,0,1,28325,1,28325,0.0
3044,dots,629,2186,330,26139,1081,28325,0.8609050118333518
3045,1/2 /w,0,111,9,28214,9,28325,0.0
3046,detectivity visible,0,4,2,28321,2,28325,0.0
3047,eqe self-powered,0,0,1,28325,1,28325,0.0
3048,p-n junctions excellent,0,0,2,28325,2,28325,0.0
3049,initial value,1,44,23,28281,26,28325,0.021245798200972752
3050,sio2,54,609,224,27716,312,28325,0.1186803215829298
3051,graphene/p-type sio2-embedded si,0,0,1,28325,1,28325,0.0
3052,excellent pd,0,0,1,28325,1,28325,0.0
3053,ratio 10 bias,0,1,2,28324,2,28325,0.0
3054,graphene/p-type sio2-embedded,0,0,1,28325,1,28325,0.0
3055,ag nws concentration,0,0,1,28325,1,28325,0.0
3056,comparable commercially-available si,1,1,1,28324,2,28325,0.12500882612533099
3057,quantum efficiency eqe,15,344,69,27981,88,28325,0.05219775607845332
3058,nm similar,2,107,42,28218,49,28325,0.019725288186364973
3059,cm hz,16,410,21,27915,38,28325,0.060458402877359596
3060,si,515,2474,632,25851,1370,28325,0.40943587230148
3061,graphene/p-sqds sio2/n-si,0,0,1,28325,1,28325,0.0
3062,photocurrent/dark current,0,31,7,28294,7,28325,0.0
3063,external quantum efficiency,154,1365,206,26960,388,28325,0.19893827878874806
3064,p-sqds sio2,0,0,1,28325,1,28325,0.0
3065,nws -doped graphene/p-type,0,0,1,28325,1,28325,0.0
3066,current on/off ratio,4,158,19,28167,24,28325,0.02695501666298704
3067,efficiency eqe similar,0,13,3,28312,3,28325,0.0
3068,nws -doped,0,0,1,28325,1,28325,0.0
3069,photodetectors pds,18,175,38,28150,58,28325,0.1421842205133278
3070,-doped graphene/p-type,0,0,1,28325,1,28325,0.0
3071,ag nws,10,56,16,28269,27,28325,0.24040570257453586
3072,similar 10,29,996,217,27329,280,28325,0.035650806065633964
3073,range 500-900 nm,0,0,1,28325,1,28325,0.0
3074,700 air,1,1,1,28324,2,28325,0.12500882612533099
3075,results suggest doped,0,11,2,28314,2,28325,0.0
3076,/n-si,1,18,6,28307,8,28325,0.04230562677164619
3077,characteristics including,0,75,17,28250,20,28325,0.0
3078,10 bias,0,37,14,28288,14,28325,0.0
3079,concentration 0.1wt,0,0,1,28325,1,28325,0.0
3080,commercially-available,1,1,5,28324,6,28325,0.18751323918799648
3081,graphene/si pds,1,1,1,28324,2,28325,0.12500882612533099
3082,characteristics,854,5353,1531,22972,2739,28325,0.23092426846413366
3083,ag nws -doped,0,0,1,28325,1,28325,0.0
3084,meaning,0,104,17,28221,20,28325,0.0
3085,pd characteristics,1,15,3,28310,4,28325,0.03702134614755974
3086,response time pds,0,0,1,28325,1,28325,0.0
3087,10 12,20,432,64,27893,89,28325,0.06014893726879496
3088,self-powered '',0,0,1,28325,1,28325,0.0
3089,500-900,0,6,4,28319,5,28325,0.0
3090,meaning `` self-powered,0,0,1,28325,1,28325,0.0
3091,range response,2,21,2,28304,4,28325,0.06662430126507796
3092,dynamic range,26,261,65,28064,116,28325,0.16647329428441518
3093,0.32-0.65 aw -1,0,0,1,28325,1,28325,0.0
3094,commercially-available si pd,0,0,1,28325,1,28325,0.0
3095,loss 15 initial,0,0,1,28325,1,28325,0.0
3096,including,713,6052,1239,22273,2192,28325,0.16344123189894558
3097,0.1wt exhibit 0.32-0.65,0,0,1,28325,1,28325,0.0
3098,including photocurrent/dark current,0,0,1,28325,1,28325,0.0
3099,1/2,20,536,46,27789,70,28325,0.05201074480754579
3100,responsivity similar,3,127,24,28198,28,28325,0.02382685706957552
3101,external quantum,185,1570,230,26755,448,28325,0.21362340327724216
3102,p-n junctions,32,600,60,27725,98,28325,0.08081031864638105
3103,exhibit 0.32-0.65,0,0,1,28325,1,28325,0.0
3104,10 12 cm,1,28,14,28297,16,28325,0.030333734723852816
3105,15 initial,0,0,1,28325,1,28325,0.0
3106,bias meaning ``,0,0,1,28325,1,28325,0.0
3107,time pds 532,0,0,1,28325,1,28325,0.0
3108,sio2/n-si heterojunctions promising,0,0,1,28325,1,28325,0.0
3109,4.5 similar 10,0,0,2,28325,2,28325,0.0
3110,aw -1 responsivity,0,38,2,28287,2,28325,0.0
3111,eqe,29,480,98,27845,134,28325,0.07831742204552722
3112,-1 responsivity similar,0,0,1,28325,1,28325,0.0
3113,commercially-available si,1,1,1,28324,2,28325,0.12500882612533099
3114,similar 85,0,34,8,28291,13,28325,0.0
3115,value pds,0,0,1,28325,1,28325,0.0
3116,85 external quantum,0,0,1,28325,1,28325,0.0
3117,quantum dots p-sqds,0,0,1,28325,1,28325,0.0
3118,0.32-0.65,0,0,1,28325,1,28325,0.0
3119,85 external,0,0,1,28325,1,28325,0.0
3120,kept 700 air,1,1,1,28324,2,28325,0.12500882612533099
3121,previously-reported graphene/si,1,1,1,28324,2,28325,0.12500882612533099
3122,sio2/n-si heterojunctions,0,0,1,28325,1,28325,0.0
3123,report ag-nanowires ag,0,0,1,28325,1,28325,0.0
3124,aw -1,27,631,45,27694,75,28325,0.06506648480764894
3125,ag-nanowires ag nws,0,0,1,28325,1,28325,0.0
3126,cm hz 1/2,14,410,19,27915,34,28325,0.05163552590243391
3127,initial value pds,0,0,1,28325,1,28325,0.0
3128,linear dynamic range,7,64,16,28261,23,28325,0.12620052984485294
3129,10 bias meaning,0,0,1,28325,1,28325,0.0
3130,nws concentration 0.1wt,0,0,1,28325,1,28325,0.0
3131,doped,435,2658,635,25667,1265,28325,0.2937447946259146
3132,doped graphene/p-sqds,0,0,1,28325,1,28325,0.0
3133,dots p-sqds sio2,0,0,1,28325,1,28325,0.0
3134,-doped,11,75,44,28250,62,28325,0.18556094047108299
3135,junctions,105,1722,179,26603,316,28325,0.09927172363305754
3136,loss,161,1408,479,26917,769,28325,0.1730148182460861
3137,better,224,2918,804,25407,1185,28325,0.10101736211199241
3138,si pd,0,0,1,28325,1,28325,0.0
3139,similar 4.5 similar,0,0,1,28325,1,28325,0.0
3140,/n-si heterojunction,0,0,1,28325,1,28325,0.0
3141,range response time,0,9,2,28316,2,28325,0.0
3142,response,678,3733,927,24592,1830,28325,0.31007580213213387
3143,self-powered optoelectronic,0,14,6,28311,6,28325,0.0
3144,suggest,182,2561,671,25764,983,28325,0.09417614896209198
3145,including photocurrent/dark,0,0,1,28325,1,28325,0.0
3146,similar 85 external,0,0,1,28325,1,28325,0.0
3147,pds,28,385,72,27940,109,28325,0.1034652836037282
3148,heterojunction photodetectors pds,1,1,2,28324,3,28325,0.15001059135039718
3149,pds 532,0,0,1,28325,1,28325,0.0
3150,15,47,1476,372,26849,496,28325,0.03984619102663334
3151,/w detectivity visible,0,0,1,28325,1,28325,0.0
3152,similar 4.5,0,24,3,28301,5,28325,0.0
3153,p-sqds sio2 /n-si,0,0,1,28325,1,28325,0.0
3154,similar mu,0,112,42,28213,47,28325,0.0
3155,meaning ``,0,0,1,28325,1,28325,0.0
3156,better previously-reported,1,1,1,28324,2,28325,0.12500882612533099
3157,promising applications self-powered,0,0,1,28325,1,28325,0.0
3158,junctions excellent pd,0,0,1,28325,1,28325,0.0
3159,optimized ag,1,13,1,28312,3,28325,0.046858451015004424
3160,aw,27,634,46,27691,76,28325,0.06427729817805959
3161,optimized ag nws,0,0,1,28325,1,28325,0.0
3162,self-powered pd,1,3,2,28322,3,28325,0.1
3163,graphene/p-type,0,0,1,28325,1,28325,0.0
3164,promising applications,19,466,144,27859,179,28325,0.04852424913380291
3165,visible range 500-900,0,0,1,28325,1,28325,0.0
3166,15 initial value,0,0,1,28325,1,28325,0.0
3167,linear dynamic,7,76,18,28249,25,28325,0.10521337251090232
3168,photocurrent/dark,0,31,7,28294,7,28325,0.0
3169,/w detectivity,0,0,1,28325,1,28325,0.0
3170,quantum dots,586,2128,315,26197,1011,28325,0.808666727897229
3171,85,14,325,111,28000,155,28325,0.05737407286972949
3172,value pds kept,0,0,1,28325,1,28325,0.0
3173,graphene/p-sqds,0,0,1,28325,1,28325,0.0
3174,graphene/p-sqds sio2/n-si heterojunctions,0,0,1,28325,1,28325,0.0
3175,loss 15,0,6,2,28319,3,28325,0.0
3176,83 db,0,0,2,28325,2,28325,0.0
3177,bias meaning,0,0,1,28325,1,28325,0.0
3178,similar mu respectively,0,9,3,28316,3,28325,0.0
3179,sio2 /n-si,0,0,1,28325,1,28325,0.0
3180,/w,0,130,15,28195,18,28325,0.0
3181,heterojunctions promising applications,0,0,1,28325,1,28325,0.0
3182,characteristics including photocurrent/dark,0,0,1,28325,1,28325,0.0
3183,pds optimized,1,1,1,28324,2,28325,0.12500882612533099
3184,concentration 0.1wt exhibit,0,0,1,28325,1,28325,0.0
3185,mu respectively,3,72,37,28253,44,28325,0.043892815533980584
3186,ratio 10,23,416,80,27909,108,28325,0.07038506468435468
3187,range 500-900,0,0,1,28325,1,28325,0.0
3188,`` self-powered '',0,0,1,28325,1,28325,0.0
3189,nws concentration,0,0,1,28325,1,28325,0.0
3190,induced,168,1912,718,26413,1013,28325,0.11495075324555148
3191,morphological,154,1167,455,27158,696,28325,0.1918025857355149
3192,films induced,0,2,2,28323,2,28325,0.0
3193,structural properties,42,552,257,27773,351,28325,0.10018203764223184
3197,behaviors,36,778,264,27547,324,28325,0.054404760198114896
3198,gamma,18,174,78,28151,112,28325,0.1397662877471994
3199,cu2znsns4,27,72,21,28253,57,28325,0.8529172109443954
3201,sprayed,1,54,19,28271,23,28325,0.018308283747964147
3203,gamma radiations,0,0,1,28325,1,28325,0.0
3204,radiations,1,14,14,28311,18,28325,0.06225954916518291
3205,high gamma,0,0,1,28325,1,28325,0.0
3206,improved structural properties,0,0,1,28325,1,28325,0.0
3207,optical behaviors,1,13,14,28312,15,28325,0.05512758942941695
3208,high gamma radiations,0,0,1,28325,1,28325,0.0
3210,cu2znsns4 films,0,1,1,28324,2,28325,0.0
3211,improved structural,0,12,6,28313,8,28325,0.0
